Month,Psychological / Mental health,Psychological / Mental health - Stress,Psychological / Mental health - Other,Psychological / Mental health - Depression,Psychological / Mental health - Anxiety,Back and neck problems,Benign / Malignant Tumours / Cancers,Chest / Respiratory,Cold / Cough / Flu,Contact with notifiable disease,Dental / Optical,Dermatological / Skin,Disability related,Ear / Nose / Throat,Gastrointestinal / Stomach problems,Genito-Urinary / Gynaecological,Headache / Migraine,Heart / Blood / Circulation,Hormone / Glandular problems,Infectious disease,Nervous system,Other musculoskeletal (RSI),Pregnancy related,Skeletal / Muscular,Surgery,Treatment / Appointment,Unknown
Apr-14,891.6241,,,,,126.2090,55.1903,264.8386,340.6567,,31.9358,38.5481,11.5000,155.2737,312.8142,103.1870,51.9234,62.8591,2.5000,16.8063,25.3697,,45.7386,296.3256,374.8887,31.8607,248.5594
May-14,820.1538,,,,,99.2939,88.6149,221.2030,372.1802,,63.3580,12.4580,13.0000,94.3186,351.7276,92.6087,51.2538,64.0482,3.8000,3.8750,10.7024,1.0000,75.3646,404.2405,477.5660,49.9361,192.6664
Jun-14,799.6880,,,,,136.6957,108.4906,151.9365,303.9258,4.0642,55.0131,20.3425,22.1561,106.1901,259.8758,106.2179,65.4015,50.7055,11.8919,3.7905,4.4973,18.0000,46.7446,412.7995,390.9981,37.9956,237.5867
Jul-14,718.4170,,,,,224.5363,128.3760,114.5130,201.3231,,42.3574,17.0632,11.5000,134.3526,342.2097,96.6835,101.2824,62.1537,0.6487,,6.0216,16.4575,13.4730,405.5510,384.3046,24.1104,148.9936
Aug-14,742.5989,,,,,196.1736,136.1161,127.3079,129.6664,,50.9666,15.6412,3.0000,95.8451,338.2859,91.0727,104.4424,64.3135,3.1487,10.1757,38.6954,32.0270,43.8848,498.9721,373.7162,28.6741,258.4528
Sep-14,661.9866,,,,,205.7244,138.3201,53.8135,129.9009,,16.0711,34.9401,11.9662,121.3651,327.9512,95.3359,92.9084,58.3086,4.5000,11.2973,25.1993,35.9324,19.9638,441.4330,347.5417,23.6159,122.8133
Oct-14,591.7591,,,,,184.5557,148.9122,80.5821,254.2217,,65.8093,34.4224,37.0000,86.4831,247.2001,124.8498,70.3887,59.4830,,30.0000,18.6486,3.0000,25.7432,560.6374,253.0416,20.4340,280.1868
Nov-14,670.0265,,,,,241.0109,148.9122,115.9869,440.7018,,66.6074,32.9764,37.4865,90.5960,351.8609,118.5418,94.6738,54.0640,7.5945,41.0811,23.7865,3.0000,71.2500,508.7953,366.6000,30.7172,205.8840
Dec-14,,0.0000,531.9586,,,211.1014,107.2053,194.7961,387.1898,,56.0973,49.8379,30.0000,100.8855,339.3779,75.8000,53.5487,21.7143,23.3243,0.6081,53.3064,,66.3628,318.7270,306.2162,11.8540,122.3352
Jan-15,,218.6886,517.5392,13.5000,43.3673,294.9481,116.1728,278.8933,611.4377,17.4055,64.9243,36.2675,34.5000,97.3528,314.9268,79.0763,31.0208,28.9223,23.4054,12.1622,55.2294,,40.6946,314.5200,392.1132,27.3663,133.0623
Feb-15,,316.5005,329.0128,55.4054,92.1908,267.4991,106.5596,380.9734,663.0996,1.5135,66.6077,20.0810,35.0000,86.6544,298.0466,75.6062,39.8340,39.6681,5.6959,,56.5445,21.6082,31.2326,304.8966,218.2437,19.8277,142.5398
Mar-15,,314.0163,235.3692,78.9595,86.4785,139.9249,119.8702,240.7843,633.3472,,47.2021,9.0458,21.0000,104.6697,238.1686,126.5774,60.3834,40.5608,,9.8045,32.4730,16.5895,25.1757,268.5971,208.9380,15.9073,171.4545
