Month,Compulsory,Voluntary,Redundancy Cost,Estimated Strain Cost
01/04/13,4,1,58619.18,13732.74
01/05/13,6,1,58462.18,32085.53
01/06/13,0,0,0.00,0.00
01/07/13,0,0,0.00,0.00
01/08/13,0,0,0.00,0.00
01/09/13,0,0,0.00,0.00
01/10/13,0,0,0.00,0.00
01/11/13,1,0,950.40,0.00
01/12/13,6,7,220677.81,238476.31
01/01/14,1,1,12713.61,23509.71
01/02/14,0,4,47777.31,27486.83
01/03/14,6,9,362150.90,382026.37
01/04/14,8,2,"213,041.86 ","209,746.24 "
01/05/14,22,3,"102,727.20 ","7,402.41 "
01/06/14,11,2,"126,346.32 ","86,135.03 "
01/07/14,11,0,"218,873.21 ","38,830.22 "
01/08/14,11,6,"68,626.67 ","45,695.07 "
01/09/14,55,8,"276,970.31 ","68,198.01 "
01/10/14,82,39,"1,006,569.16 ","197,209.54 "
01/11/14,41,9,"380,214.69 ","65,801.90 "
01/12/14,29,13,"441,158.11 ","40,727.84 "
01/01/15,74,14,"768,252.82 ","294,572.28 "
01/02/15,47,4,"585,931.02 ","282,133.74 "
01/03/15,37,31,"817,386.60 ","215,466.66 "
